ID,Title,Phase,Type,Priority,Estimate,Status,Owners,Dependencies,Target Sprint Window,Rollout Flag,Labels,Summary,Implementation Checklist,Acceptance Criteria
P1-001,Dashboard Role Shell,Phase 1,Feature,P0,M,Ready,"frontend;ux",,Sprint 1,dashboard_role_shell,"frontend;ux;phase-1","Make the dashboard immediately communicate next actions for principals and trainers.","Audit current above-the-fold content in DashboardPage | Define role-aware layout blocks | Add role-specific heading and framing | Create smart queue shell placeholder | Update English and Hebrew copy","First viewport communicates role priorities and next actions | Dashboard is easier to scan than current version | Existing KPI and leadership sections do not regress"
P1-002,Dashboard Smart Queue Content,Phase 1,Feature,P0,M,Backlog,"frontend;backend;ux",P1-001,Sprint 1-2,dashboard_smart_queue,"frontend;backend;ux;phase-1","Populate the dashboard smart queue with role-aware high-leverage actions.","Define principal queue item logic | Define trainer queue item logic | Map queue items to real routes | Add backend support if needed for queue computation | Render queue items with CTA states","At least 3 useful actions appear when relevant data exists | Queue items deep-link into real workflows | Queue differs meaningfully by role or mode"
P1-003,Guided Onboarding Checklist,Phase 1,Feature,P0,M,Ready,"frontend;ux",,Sprint 1,guided_onboarding,"frontend;ux;phase-1","Add a role-aware onboarding checklist for first-run users.","Define first-run steps for principals trainers and teachers | Render checklist in dashboard or onboarding panel | Persist progress locally or per user | Connect checklist actions to actual routes","First-time user sees a clear setup path | Progress persists across refresh or session | Checklist steps map to real product actions"
P1-004,Empty State Standardization,Phase 1,Feature,P0,M,Ready,"frontend;ux",,Sprint 1,improved_empty_states,"frontend;ux;phase-1","Standardize empty states across major routes with next-step CTAs.","Audit all major empty states | Create standard copy and CTA patterns | Implement in dashboard teachers videos and teacher profile | Verify consistency with shared UI primitives","No major page has a dead-end empty state | Each empty state recommends a next action | Design is visually consistent"
P1-005,Feature Flag Framework Expansion,Phase 1,Platform,P0,M,Ready,"frontend;backend;platform",,Sprint 1,,"frontend;backend;platform;phase-1","Expand runtime feature-flag support for new UX and AI behaviors.","Extend runtimeConfig | Define flag naming convention | Add flags for onboarding smart queue AI feedback and training mode | Document usage pattern","Features can be enabled or disabled without code edits | Frontend reads flags consistently | Flag usage is documented in docs"
P1-006,Video Review Layout Pass,Phase 1,Feature,P0,L,Backlog,"frontend;ux",,Sprint 2,video_review_v2,"frontend;ux;phase-1","Make the lesson review experience easier to scan and act on.","Simplify page hierarchy in VideoPlayerPage | Improve grouping of playback evidence rubric and next actions | Tighten responsive layout for laptop screens | Reduce visual competition between sections","Reviewer can move from video to evidence to next action without confusion | Page is clearer on common laptop viewport sizes | No loss of existing functionality"
P1-007,Video Review Action Focus,Phase 1,Feature,P0,S,Backlog,"frontend;ux",P1-006,Sprint 2,observation_first_video_review,"frontend;ux;phase-1","Reduce clutter from secondary recognition and sharing actions in core observation review.","Re-rank page action priority | Visually down-rank recognition and share actions | Emphasize evidence report and coaching actions","Observation-first workflow is visually primary | Recognition features remain accessible but secondary"
P1-008,Privacy Status Language Pass,Phase 1,Feature,P0,S,Backlog,"frontend;backend;ux",,Sprint 2,privacy_copy_cleanup,"frontend;backend;ux;phase-1","Normalize privacy and review wording across the product.","Audit privacy labels and copy | Standardize labels in player library and queue | Update translations","Labels are consistent across product surfaces | Action-required states are clear to users"
P1-009,Report Feedback API,Phase 1,Backend,P0,M,Ready,"backend;platform",,Sprint 2,report_feedback,"backend;platform;phase-1","Add backend support for report usefulness ratings and comments.","Define feedback schema | Create save endpoint | Create query endpoint | Support summary and recommendation feedback targets | Add repository methods","Frontend can submit useful or not useful ratings | Feedback records are queryable per assessment and user | Schema supports future evaluation use"
P1-010,Report Feedback UI,Phase 1,Feature,P0,M,Backlog,"frontend;ux",P1-009,Sprint 2,report_feedback,"frontend;ux;phase-1","Let users rate the usefulness of summaries and recommendations in context.","Add useful or not useful controls | Add optional rationale input | Implement submission states | Render in teacher profile and lesson review surfaces","Users can rate outputs without leaving current page | Rationale is optional and easy to submit | Feedback UX is lightweight and non-disruptive"
